,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
19,2023,K리그2,부산,이상헌,MF,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,83.3,0,4,3,0.0,1,1,100.0,1,1,100.0,1,0,0.0,1,1,100.0,4,4,100.0,2,2,100.0,2,1,50.0,2,2,100.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0
20,2023,K리그2,부산,임민혁,MF,18,1338,2,2,12,5,0,7,4,8,0,24,19,5,17,11,64.7,839,714,85.1,10,354,254,0.0,192,188,97.9,293,272,92.8,160,128,80.0,90,73,81.1,589,513,87.1,79,58,73.4,241,206,85.5,519,450,86.7,41,9,22.0,7,8,4,50.0,19,5,62.5,36,11,30.6,21,36,34,104,30,7,17,25,2,0
21,2023,K리그2,부산,정원진,MF,14,1352,1,2,22,8,5,9,6,16,1,30,34,3,7,3,42.9,521,432,82.9,14,163,96,0.0,172,165,95.9,186,171,91.9,179,150,83.8,45,37,82.2,297,245,82.5,71,38,53.5,117,100,85.5,333,294,88.3,60,8,13.3,3,7,3,42.9,41,8,114.3,23,7,30.4,11,23,15,79,18,10,10,14,1,0
22,2023,K리그2,부산,최건주,MF,99,73,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.0,6,6,100.0,1,2,2,0.0,2,2,100.0,2,2,100.0,1,1,100.0,1,1,100.0,4,4,100.0,1,1,100.0,2,2,100.0,3,3,100.0,3,1,33.3,0,0,0,0.0,1,0,0.0,2,1,50.0,0,0,0,2,0,0,0,0,0,0
23,2023,K리그2,부산,최기윤,MF,29,71,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0.0,14,10,71.4,0,3,1,0.0,5,5,100.0,6,4,66.7,6,5,83.3,0,0,0.0,8,5,62.5,2,1,50.0,7,7,100.0,5,2,40.0,0,0,0.0,1,0,0,0.0,5,1,0.0,3,0,0.0,0,2,1,6,0,0,0,2,0,0
24,2023,K리그2,부산,최준,MF,6,978,1,1,7,2,2,3,5,2,0,6,0,101,6,1,16.7,463,376,81.2,7,197,131,0.0,142,140,98.6,124,105,84.7,96,76,79.2,98,76,77.6,269,224,83.3,45,22,48.9,156,119,76.3,262,235,89.7,35,7,20.0,2,9,2,22.2,35,19,211.1,30,11,36.7,36,41,16,49,32,6,13,9,3,0
25,2023,K리그2,부산,최지묵,MF,26,186,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0,92,78,84.8,1,37,26,0.0,32,30,93.8,23,22,95.7,21,19,90.5,23,17,73.9,48,42,87.5,7,5,71.4,38,33,86.8,47,40,85.1,6,0,0.0,0,3,1,33.3,0,0,0.0,0,0,0.0,3,10,4,11,3,1,2,2,0,0
26,2023,K리그2,부산,페신,MF,7,128,1,0,4,2,0,2,2,2,1,0,0,0,0,0,0.0,29,24,82.8,2,12,10,0.0,6,5,83.3,11,9,81.8,6,4,66.7,1,1,100.0,22,19,86.4,2,1,50.0,3,3,100.0,24,20,83.3,0,0,0.0,0,3,3,100.0,5,3,100.0,5,1,20.0,0,1,1,7,3,1,0,4,0,0
27,2023,K리그2,부산,김정환,FW,11,82,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.0,32,29,90.6,1,15,13,0.0,11,10,90.9,6,6,100.0,15,15,100.0,3,3,100.0,14,11,78.6,1,1,100.0,9,9,100.0,22,19,86.4,1,0,0.0,0,0,0,0.0,4,3,0.0,0,0,0.0,0,2,2,3,0,1,0,1,0,0
28,2023,K리그2,부산,김찬,FW,9,1312,6,0,36,13,6,17,28,8,12,0,0,0,12,3,25.0,263,171,65.0,11,97,45,0.0,77,62,80.5,89,64,71.9,125,76,60.8,5,4,80.0,133,91,68.4,7,3,42.9,54,34,63.0,202,134,66.3,7,0,0.0,8,28,17,60.7,193,76,271.4,12,7,58.3,19,13,6,51,11,18,29,18,4,0
