,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
42,2023,하나원큐 K리그1,울산,아타루,대기,31,507,1,1,6,4,1,1,2,4,2,5,3,1,4,1,25.0,208,171,82.2,7,78,50,0.0,54,53,98.1,76,68,89.5,69,57,82.6,24,22,91.7,115,92,80.0,20,12,60.0,59,46,78.0,129,113,87.6,25,7,28.0,0,5,4,80.0,17,10,200.0,11,5,45.5,10,6,6,25,10,2,5,3,0,0
43,2023,하나원큐 K리그1,울산,엄원상,대기,11,767,3,1,22,10,2,10,17,5,8,0,0,3,17,6,35.3,211,167,79.1,10,63,41,0.0,84,80,95.2,64,46,71.9,122,102,83.6,20,16,80.0,69,49,71.0,1,0,0.0,51,41,80.4,159,126,79.2,25,7,28.0,0,10,3,30.0,15,3,30.0,8,2,25.0,9,8,7,37,8,2,4,10,0,0
44,2023,하나원큐 K리그1,울산,윤일록,대기,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
45,2023,하나원큐 K리그1,울산,이규성,대기,24,175,0,0,0,0,0,0,0,0,1,11,4,1,0,0,0.0,115,100,87.0,0,54,39,0.0,20,20,100.0,41,41,100.0,25,21,84.0,18,16,88.9,72,63,87.5,5,4,80.0,27,23,85.2,83,73,88.0,5,0,0.0,1,0,0,0.0,3,2,0.0,7,4,57.1,4,6,2,16,3,0,2,1,1,0
46,2023,하나원큐 K리그1,울산,이동경,대기,14,20,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.0,12,12,100.0,0,2,2,0.0,5,5,100.0,5,5,100.0,3,3,100.0,1,1,100.0,8,8,100.0,1,1,100.0,6,6,100.0,5,5,100.0,0,0,0.0,0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,1,2,4,3,0,0,0,0
47,2023,하나원큐 K리그1,울산,이청용,대기,27,1044,1,2,7,2,2,3,5,2,0,18,24,12,9,2,22.2,837,733,87.6,15,350,277,0.0,179,169,94.4,308,287,93.2,268,220,82.1,97,90,92.8,472,423,89.6,48,32,66.7,249,217,87.1,540,484,89.6,62,12,19.4,11,6,2,33.3,26,11,183.3,42,11,26.2,13,23,14,91,15,12,7,21,4,0
48,2023,하나원큐 K리그1,울산,임종은,대기,5,83,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0.0,31,30,96.8,1,12,11,0.0,3,3,100.0,16,16,100.0,4,4,100.0,11,10,90.9,16,16,100.0,1,1,100.0,15,15,100.0,15,14,93.3,1,0,0.0,1,2,1,50.0,11,7,350.0,1,1,100.0,16,2,1,3,2,0,0,2,0,0
49,2023,하나원큐 K리그1,울산,장시영,대기,3,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,14,10,71.4,1,7,4,0.0,5,4,80.0,2,2,100.0,8,6,75.0,3,1,33.3,3,3,100.0,0,0,0.0,5,4,80.0,9,6,66.7,1,0,0.0,0,1,0,0.0,1,0,0.0,1,0,0.0,0,0,1,5,2,0,0,1,0,0
50,2023,하나원큐 K리그1,울산,정승현,대기,15,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,66,64,97.0,0,33,31,0.0,3,3,100.0,30,30,100.0,4,4,100.0,16,15,93.8,46,45,97.8,5,3,60.0,32,32,100.0,29,29,100.0,1,0,0.0,0,0,0,0.0,4,3,0.0,0,0,0.0,8,2,1,9,2,0,2,0,0,0
51,2023,하나원큐 K리그1,울산,조수혁,대기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
52,2023,하나원큐 K리그1,울산,조현우,대기,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
53,2023,하나원큐 K리그1,울산,조현택,대기,26,514,0,0,8,3,1,4,4,4,1,2,10,17,6,2,33.3,152,127,83.6,5,54,36,0.0,58,56,96.6,40,35,87.5,52,46,88.5,29,21,72.4,71,60,84.5,10,4,40.0,43,38,88.4,99,85,85.9,26,8,30.8,0,4,1,25.0,12,9,225.0,10,6,60.0,17,10,9,22,15,4,11,8,0,0
54,2023,하나원큐 K리그1,울산,주민규,대기,18,294,2,0,8,6,0,2,6,2,0,0,0,0,1,0,0.0,64,51,79.7,0,19,15,0.0,23,22,95.7,22,14,63.6,24,16,66.7,2,2,100.0,38,33,86.8,1,1,100.0,9,5,55.6,54,45,83.3,2,0,0.0,1,8,3,37.5,36,12,150.0,2,0,0.0,4,2,3,8,3,2,2,6,0,0
