,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
15,2021,K리그1,수원,안토니스,MF,8,122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,61,46,75.4,1,17,6,0.0,17,17,100.0,27,23,85.2,16,11,68.8,3,1,33.3,42,34,81.0,16,9,56.2,16,13,81.2,29,24,82.8,3,1,33.3,0,9,5,55.6,3,0,0.0,1,0,0.0,3,0,4,10,0,4,0,2,1,0
16,2021,K리그1,수원,유주안,MF,13,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,27,21,77.8,1,11,7,0.0,11,9,81.8,5,5,100.0,10,9,90.0,2,2,100.0,15,10,66.7,2,1,50.0,4,1,25.0,21,19,90.5,0,0,0.0,0,5,2,40.0,1,1,20.0,0,0,0.0,0,1,5,4,0,0,1,1,0,0
17,2021,K리그1,수원,이기제,MF,23,3649,5,5,29,13,8,8,7,22,3,115,85,279,12,6,50.0,"2,222","1,721",77.5,50,894,574,0.0,618,611,98.9,710,536,75.5,705,476,67.5,348,251,72.1,"1,169",994,85.0,339,142,41.9,621,443,71.3,"1,262","1,136",90.0,255,67,26.3,9,178,85,47.8,94,48,27.0,10,3,30.0,44,45,117,256,3,8,35,25,3,0
18,2021,K리그1,수원,조성진,MF,5,457,0,0,3,0,1,2,3,0,1,1,0,0,1,0,0.0,126,106,84.1,0,40,24,0.0,27,27,100.0,59,55,93.2,19,15,78.9,20,18,90.0,87,73,83.9,2,1,50.0,44,37,84.1,80,68,85.0,1,1,100.0,0,30,18,60.0,21,10,33.3,2,1,50.0,5,6,26,20,2,2,10,1,1,0
19,2021,K리그1,수원,최성근,MF,25,1686,0,0,3,1,0,2,2,1,1,23,0,0,0,0,0.0,773,670,86.7,3,261,185,0.0,152,145,95.4,360,340,94.4,65,49,75.4,116,101,87.1,592,520,87.8,41,28,68.3,260,240,92.3,472,402,85.2,4,0,0.0,3,184,106,57.6,88,48,26.1,61,36,59.0,17,38,120,157,15,8,40,44,5,1
20,2021,K리그1,수원,한석종,MF,6,1880,0,1,7,1,2,4,5,2,0,20,0,0,3,1,33.3,"1,182","1,030",87.1,10,430,319,0.0,270,264,97.8,482,447,92.7,156,127,81.4,185,153,82.7,841,750,89.2,152,119,78.3,474,427,90.1,556,484,87.1,6,2,33.3,8,211,115,54.5,73,43,20.4,18,15,83.3,13,58,74,207,6,11,31,26,4,0
21,2021,K리그1,수원,강현묵,FW,14,154,0,0,2,1,0,1,1,1,0,0,0,0,3,2,66.7,60,47,78.3,4,27,18,0.0,15,15,100.0,18,14,77.8,32,24,75.0,3,2,66.7,25,21,84.0,2,2,100.0,13,9,69.2,45,36,80.0,0,0,0.0,0,24,12,50.0,10,3,12.5,0,0,0.0,0,1,3,14,0,1,2,3,0,0
22,2021,K리그1,수원,고승범,FW,7,103,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0,38,33,86.8,2,13,10,0.0,10,9,90.0,15,14,93.3,9,8,88.9,5,4,80.0,24,21,87.5,4,3,75.0,13,10,76.9,21,20,95.2,0,0,0.0,0,9,5,55.6,4,0,0.0,1,0,0.0,0,2,1,7,0,1,3,1,1,0
23,2021,K리그1,수원,권창훈,FW,22,328,1,0,8,2,3,3,5,3,0,2,0,1,4,3,75.0,182,148,81.3,7,70,53,0.0,36,34,94.4,76,61,80.3,71,57,80.3,12,10,83.3,99,81,81.8,14,10,71.4,38,32,84.2,130,106,81.5,3,1,33.3,2,35,17,48.6,16,3,8.6,1,0,0.0,2,6,6,17,0,4,1,5,1,0
24,2021,K리그1,수원,김건희,FW,9,1357,4,1,37,16,11,10,29,8,2,2,0,3,18,7,38.9,460,337,73.3,12,156,79,0.0,152,137,90.1,152,121,79.6,224,164,73.2,13,7,53.8,223,166,74.4,5,4,80.0,102,70,68.6,353,263,74.5,14,5,35.7,0,107,45,42.1,193,79,73.8,6,4,66.7,13,10,27,61,1,13,19,23,1,0
25,2021,K리그1,수원,김민우,FW,10,371,0,1,5,1,0,4,4,1,4,0,1,0,3,2,66.7,123,97,78.9,5,32,17,0.0,52,51,98.1,39,29,74.4,41,28,68.3,8,8,100.0,74,61,82.4,5,3,60.0,35,25,71.4,83,69,83.1,4,0,0.0,2,29,11,37.9,26,14,48.3,3,1,33.3,2,7,9,13,0,4,4,7,1,0
26,2021,K리그1,수원,김태환,FW,18,246,0,0,7,1,4,2,4,3,0,2,0,2,2,1,50.0,72,44,61.1,1,27,10,0.0,20,18,90.0,25,16,64.0,23,11,47.8,12,8,66.7,37,25,67.6,5,1,20.0,20,13,65.0,47,30,63.8,4,1,25.0,0,20,11,55.0,16,4,20.0,0,0,0.0,3,5,4,16,0,1,6,11,0,0
27,2021,K리그1,수원,니콜라오,FW,27,154,1,0,3,2,1,0,2,1,1,0,0,0,1,0,0.0,43,28,65.1,0,10,5,0.0,18,16,88.9,15,7,46.7,22,12,54.5,0,0,0.0,21,16,76.2,1,1,100.0,6,3,50.0,36,24,66.7,0,0,0.0,1,20,7,35.0,15,5,25.0,0,0,0.0,2,1,3,5,0,1,1,1,0,0
